,Proyecto,Autor(a),País,Descripción,Recaudación,Porcentaje,Vistas,Colaboradores,Categoría
0,VIOLENTINA - UM JOGO MARGINAL DE CONTAR HISTÓRIAS,Eduardo Caetano,Brasil,"Publicação do RPG Violentina, um jogo sobre Violência, Vícios, Volúpia... e nem um Vintém.",37172,459,6600,116,Editorial
1,CARD GOBLINS,Coisinha Verde Games,Brasil,Um incrível jogo de cartas onde cada jogador controla uma horda de caóticos e fracotes goblins!,44100,363,9300,225,Editorial
2,"CHACABUCO, LA PELÍCULA",CHACABUCO,Argentina,Somos un grupo de estudiantes de Diseño de Imagen y Sonido (FADU – UBA). CHACABUCO es nuestra ópera prima y tesis final de la carrera.,8177,357,25300,851,Cine y video
3,DUNGEON MONSTERS: THE CARD GAME,Helio Greca,Brasil,Aqui não basta matar o monstro mais poderoso. Você deve matar todos eles - e antes dos seus oponentes!,45353,320,11900,204,Editorial
4,EL DISCO DE LA CHUCK NORRIS!!!,Alfonso Salas,Argentina,La Chuck Norris Band grabó su primer disco y sólo nos falta HACER las copias! Sé nuestro productor!!! Ofrecemos muuchas recompensas!,59113,302,18100,100,Música
5,NO LO TESTEAMOS EXPANSIONES,Bureau de Juegos,Argentina,"Dos nuevas expansiones del No Lo Testeamos Ni Un Poco: KINÉTICO, con cartas que te van a hacer mover y PICANTE, la expansión ""hot"".",19699,301,48400,395,Editorial
6,SÉ PARTE DEL ANUARIO GATO 2015,El Gato y La Caja,Argentina,Una primera vuelta al Sol usando el arte y el diseño para estrellar la ciencia contra el resto de la cultura.,81089,275,58600,990,Editorial
7,"""LA NOCHE BOCA ARRIBA""",aemea,Argentina,"adaptación de un cuento del escritor argentino Julio Cortázar, 2da etapa de rodaje a filmar en Noviembre en el Delta del Paraná.",882,270,10300,8,Artes visuales
8,QUE SALGA CAPITAN BARATO 2,Daniel Müller,Argentina,Queremos llegar a todo el país con las aventuras de Capitan Barato y Miss Capi! Con tu ayuda lo podemos hacer posible!,5866,256,9900,53,Editorial
9,LA RUTA SANADORA,sofi patalano,Argentina,Somos una familia unida por este proyecto. Queremos publicar el libro que escribio nuestro padre. Una historia sumamente inspiradora y rica.,2369,241,16400,30,Editorial
10,KOJAK - EL PASTOR DEL RING,Fran Ariza,Argentina,Proyecto de serie basada en la vida del ex-boxeador Ricardo Kojak Silva desde su infancia hasta la pelea de su vida en Estados Unidos.,12467,238,4300,9,Cine y video
11,SIMA PRESENTA NOVELA GRÁFICA,Noseso Records,Argentina,Pre-venta de Novela Gráfica el discómic de SIMA.,23793,227,38600,224,Música
12,NACÍ AYER - SERIE WEB,Nací Ayer,Argentina,"Serie web de seis capítulos que transitan la vida de Sofía, tras su ruptura amorosa, acompañada de su hermana, su prima y su mejor amiga.",25752,225,16800,98,Cine y video
