,Proyecto,Autor(a),País,Descripción,Descripción (limpia),Palabras clave,Recaudación,Porcentaje,Vistas,Colaboradores,Categoría
0,VIOLENTINA - UM JOGO MARGINAL DE CONTAR HISTÓRIAS,Eduardo Caetano,Brasil,"Publicação do RPG Violentina, um jogo sobre Violência, Vícios, Volúpia... e nem um Vintém.",publicação rpg violentina jogo violência vícios volúpia vintém, volupia   rpg   vicios ,37172,459,6600,116,Editorial
1,CARD GOBLINS,Coisinha Verde Games,Brasil,Um incrível jogo de cartas onde cada jogador controla uma horda de caóticos e fracotes goblins!,incrível jogo cartas onde cada jogador controla horda caóticos fracotes goblins, jogo   caoticos fracotes ,44100,363,9300,225,Editorial
2,"CHACABUCO, LA PELÍCULA",CHACABUCO,Argentina,Somos un grupo de estudiantes de Diseño de Imagen y Sonido (FADU – UBA). CHACABUCO es nuestra ópera prima y tesis final de la carrera.,grupo estudiantes diseño imagen sonido fadu uba chacabuco ópera prima tesis final carrera, estudiantes   final   diseno ,8177,357,25300,851,Cine y video
3,DUNGEON MONSTERS: THE CARD GAME,Helio Greca,Brasil,Aqui não basta matar o monstro mais poderoso. Você deve matar todos eles - e antes dos seus oponentes!,aqui basta matar monstro poderoso deve matar oponentes, basta matar   poderoso ,45353,320,11900,204,Editorial
4,EL DISCO DE LA CHUCK NORRIS!!!,Alfonso Salas,Argentina,La Chuck Norris Band grabó su primer disco y sólo nos falta HACER las copias! Sé nuestro productor!!! Ofrecemos muuchas recompensas!,chuck norris band grabó primer disco sólo falta hacer copias sé productor ofrecemos muuchas recompensas, ofrecemos muuchas   norris ,59113,302,18100,100,Música
5,NO LO TESTEAMOS EXPANSIONES,Bureau de Juegos,Argentina,"Dos nuevas expansiones del No Lo Testeamos Ni Un Poco: KINÉTICO, con cartas que te van a hacer mover y PICANTE, la expansión ""hot"".",nuevas expansiones testeamos kinético cartas van hacer mover picante expansión hot, expansion   expansiones   picante ,19699,301,48400,395,Editorial
6,SÉ PARTE DEL ANUARIO GATO 2015,El Gato y La Caja,Argentina,Una primera vuelta al Sol usando el arte y el diseño para estrellar la ciencia contra el resto de la cultura.,primera vuelta sol usando arte diseño estrellar ciencia resto cultura, resto   vuelta sol ,81089,275,58600,990,Editorial
7,"""LA NOCHE BOCA ARRIBA""",aemea,Argentina,"adaptación de un cuento del escritor argentino Julio Cortázar, 2da etapa de rodaje a filmar en Noviembre en el Delta del Paraná.",adaptación cuento escritor argentino julio cortázar 2da etapa rodaje filmar noviembre delta paraná, rodaje   cuento   julio ,882,270,10300,8,Artes visuales
8,QUE SALGA CAPITAN BARATO 2,Daniel Müller,Argentina,Queremos llegar a todo el país con las aventuras de Capitan Barato y Miss Capi! Con tu ayuda lo podemos hacer posible!,queremos llegar país aventuras capitan barato miss capi ayuda podemos hacer posible, llegar   podemos hacer ,5866,256,9900,53,Editorial
9,LA RUTA SANADORA,sofi patalano,Argentina,Somos una familia unida por este proyecto. Queremos publicar el libro que escribio nuestro padre. Una historia sumamente inspiradora y rica.,familia unida proyecto queremos publicar libro escribio padre historia sumamente inspiradora rica, inspiradora   unida proyecto ,2369,241,16400,30,Editorial
10,KOJAK - EL PASTOR DEL RING,Fran Ariza,Argentina,Proyecto de serie basada en la vida del ex-boxeador Ricardo Kojak Silva desde su infancia hasta la pelea de su vida en Estados Unidos.,proyecto serie basada vida exboxeador ricardo kojak silva infancia pelea vida unidos, serie basada vida ,12467,238,4300,9,Cine y video
11,SIMA PRESENTA NOVELA GRÁFICA,Noseso Records,Argentina,Pre-venta de Novela Gráfica el discómic de SIMA.,preventa novela gráfica discómic sima, novela   discomic   grafica ,23793,227,38600,224,Música
12,NACÍ AYER - SERIE WEB,Nací Ayer,Argentina,"Serie web de seis capítulos que transitan la vida de Sofía, tras su ruptura amorosa, acompañada de su hermana, su prima y su mejor amiga.",serie web seis capítulos transitan vida sofía tras ruptura amorosa acompañada hermana prima mejor amiga, mejor   web seis ,25752,225,16800,98,Cine y video
13,ARMONICISTA ARGENTINA LANZA SU 1ER DVD + CD Y VA POR SU VIDEO CLIP !!!,Sandra Vazquez,Argentina,"¿queres ser parte de mi DVD + CD?, queres participar en mi VIDEO CLIP?? , QUEDA POCO TIEMPO Y NOS FALTA MUY POCO !!! AYUDAMEEE !!!",queres ser parte dvd cd queres participar video clip queda tiempo falta ayudameee, parte   tiempo falta ,8507,216,20000,137,Artes visuales
14,"INVISIBLE A LOS OJOS, EL LIBRO",InvisibleALosOjos,Argentina,Somos Invisible a los Ojos pero queremos hacernos ver. Llevate el libro de El principito con cientos de ilustraciones de todo el mundo.,invisible ojos queremos hacernos ver llevate libro principito cientos ilustraciones mundo, ojos   cientos ilustraciones ,65978,212,45500,561,Editorial
15,LUZ AL INSTANTE,Vuela el Pez,Argentina,"“Luz al Instante” es un disco de 16 canciones originales e inéditas inspiradas en Luis Alberto Spinetta, hecho por 16 solistas y bandas.",luz instante disco canciones originales inéditas inspiradas luis alberto spinetta hecho solistas bandas, instante   hecho solistas ,15820,210,34500,338,Música
16,MAGOS & TABERNAS,adriannovell,Argentina,"""Magos y Tabernas"" es un juego de mesa para 3 o 4 jugadores, donde un grupo de magos luchan por la última cerveza de la taberna.",magos tabernas juego mesa jugadores grupo magos luchan última cerveza taberna, taberna   magos tabernas   jugadores ,13350,204,11500,76,Juegos
17,LOSVIAJES DEL CAPITÁN FOUCAULT,SebasKO,Argentina,Filosofos extraterrestres encuentran la tierra y deben debatir como salvarnos de nosotros mismos. Un juego de mesa como nunca jugaste antes.,filosofos extraterrestres encuentran tierra deben debatir salvarnos mismos juego mesa nunca jugaste, extraterrestres   mesa nunca ,9882,201,17200,137,Juegos
18,DE BOEDO A MARRAKECH!,Darío Gabriel Rosemblat,Argentina,El libro de la EPOPEYA RECORD de SAN LORENZO en MARRUECOS es un LEGADO ÚNICO! Conseguilo solo por este medio y hasta el 23-12!,libro epopeya record san lorenzo marruecos legado único conseguilo solo medio, solo   epopeya record ,56234,197,23300,284,Editorial
19,PARTÍCULA,ElectroShockeC,Argentina,Fiesta electrónica Multimedia + Filmación de largometraje en vivo. LA UNION HACE LA FIESTA! . VOS . FORMAS . PARTE .,fiesta electrónica multimedia filmación largometraje vivo union hace fiesta formas parte, fiesta   formas   largometraje ,22337,195,28300,86,Artes visuales
20,MIRAMAR,Ramiro Chaves,México,"Exposición de los intrigantes paisajes fotográficos de Ramiro Chaves en un espacio público de Laguna de Mar Chiquita, Córdoba, Argentina.",exposición intrigantes paisajes fotográficos ramiro chaves espacio público laguna mar chiquita córdoba argentina, cordoba   intrigantes paisajes ,136257,195,21100,80,Artes visuales
21,ATRÁS DE TODO DETRÁS,matiasgoldin,Argentina,"Investigacion,construcción y puesta en escena de una obra de danza contemporánea,tesis de graduacion de la Universidad Nacional de las Artes",investigacionconstrucción puesta escena obra danza contemporáneatesis graduacion universidad nacional artes, puesta   universidad nacional ,6361,194,10200,214,Artes escénicas
22,IDEA IN PROGRESS,arielanotariana,Argentina,mi primer fanzine. la película de mis ojos a través de una analógica prestada y mis notas del celular.,primer fanzine película ojos través analógica prestada notas celular, fanzine   prestada notas ,1863,190,1200,16,Artes visuales
23,PRIMER CD DE LUCAS GIULIANI,Lucas Giuliani,Argentina,"Soy Lucas Giuliani y quiero terminar de editar mi primer album ""BUEN VIAJE, BON VOYAGE"" pero para eso necesito de tu colaboración!",lucas giuliani quiero terminar editar primer album buen viaje bon voyage necesito colaboración, necesito   giuliani quiero ,5670,183,15300,135,Música
24,LO QUE EL VIENTO ME DEJÓ,Laura Varsky,Argentina,"Una serie de textos que han sido dibujados y un libro que narra su proceso creativo: su historia, bocetos y objetos que lo inspiraron.",serie textos sido dibujados libro narra proceso creativo historia bocetos objetos inspiraron, objetos   textos sido ,55895,179,20700,57,Editorial
