,Conteo de patrocinadores,Descripción,Objetivo,Nombre del proyecto,Estatus,Ubicación (por estado),Recaudado,Creador(a),Categoría
0,2919,A Heartfelt Metroidvania Experience,380000,9 Years of Shadows,Exitoso,Jalisco,1988905,HALBERD STUDIOS,Juegos
1,1990,The Kinetic Sculpture That Draws Infinite Patterns On Sand.,100000,SANDSARA,Exitoso,Nuevo Leon,18574946,Ed Cano,Diseño
2,1806,A limited edition deck of playing cards that celebrates life and death in the Mexican culture,280000,El Reino de Los Muertos - Expert Edition / Mexico Creates,Exitoso,Distrito Federal,1322488,Sextante studio,Juegos
3,1339,"Come and check out our innovative, simple and practical luggage organizer. Hasta la vista, messy clothes!",150000,"Hang and Roll ""Organize your backpack like never before""",Exitoso,Baja California,1039589,Hang & Roll,Artesanía
4,1132,"2020 not only takes us back into the studio for production of our 3rd album, but we embark on our first North American Tour March/April",570000,The Warning - New Album and 23 date NorthAmerican Tour,Exitoso,Nuevo Leon,3337199,The Warning,Música
5,1075,Bring your Tabletop sessions to life. Immersive auditive experiences for Dungeon Masters and Players at your fingertips.,369000,RPG Sounds,Exitoso,Baja California,1338164,Cast n Play,Juegos
6,974,3D Printable Models / RPG / Wargaming / Collectibles,2000,Bestiary Vol #2 - 3D Printable Models,Exitoso,Coahuila de Zaragoza,1176954,Brayan Nafarrate,Juegos
7,893,"Colección más reciente de los cómics hechos por Alejandra Gámez para ""The mountain with teeth"".\r
Comics strips and little weird stories",100000,The mountain with teeth: Historias de piedra,Exitoso,Distrito Federal,474570,Alejandra Elena Gámez,Cómic
8,736,Se necesitan aventureros valientes para encontrar el Mítico 5to tomo de Jours de Papier. We need brave warriors to find JDP's 5th book.,145000,La búsqueda del legendario tomo 5 - comic by Jours de Papier,Exitoso,Distrito Federal,548622,Jours de Papier,Cómic
9,733,"Dany, Pau and Ale are ready to go to the studio and record The Warning's brand new album",400000,The Warning's 2nd Studio Album,Exitoso,Baja California,1768119,The Warning,Música
10,677,Playing Cards created to help support the axolotl conservation efforts in México by spreading knowledge about this amazing creature.,300000,Axolotl Playing Cards,Exitoso,Distrito Federal,387549,Sextante studio,Juegos
11,607,3D Printable Files / RPG / Wargaming / Collectibles,10000,Cthulhu: Lovecraftian Bestiary - 3D Printable Models,Exitoso,Coahuila de Zaragoza,731324,Brayan Nafarrate,Juegos
12,461,"We accompanied an 8 months pregnant Yuri, who migrates with her partner Mike and her son Santi with one objective, to give birth in EUA",665000,Éxodo: Documental de la caravana migrante centroaméricana,Exitoso,Distrito Federal,671184,Cabal Films & Chicken Bus,Cine y video
13,409,What would happen if the most iconic effects and mechanics were merged in a single game?,75000,Card Game: The Card Game. A game about cards!,Exitoso,Yucatan,172963,Gnomosapiens,Juegos
14,374,"A competitive game, with action points, combat, search, strategy and some luck, can you perform the final conjuring?",2000,Survive a Nightmare,Exitoso,Aguascalientes,22739,Damian Jimenez,Juegos
15,369,"Explore a decaying futuristic city in search of items, superpowers and companions to free all the turfs and unite their people again!.",150000,Neon City Riders: A Cyberpunk Turf Wars Action Adventure,Exitoso,Veracruz-Llave,225740,Mecha Studios,Juegos
16,369,"Adventure/fighting game inspired by the ""punch-out"" series, taking place in the building of a corrupt corporation.",200000,Pato Box - A full action duck fighting experience,Exitoso,Puebla,210700,Bromio,Juegos
17,320,"VS Reyring Comic Lucha libre, comedia, golpes y mucha calentura!\r
VS.Reyring is a wrestling comic full of action and sensuality",60000,VS. REYRING (lucha libre gay comic/bara/yaoi /furry ),Exitoso,Distrito Federal,278802,Dai Leon,Cómic
18,313,"Operating from Mexico City, we are a free, bilingual, quarterly digital & print publication about contemporary art in the Americas.",400000,"Terremoto, a unique Pan-American art magazine",Exitoso,Distrito Federal,441683,"Dorothée, Antonella, Diego and Ana",Editorial
19,304,"Cortometraje animado basado en el libro infantil ""Mi Hermano Luca"". Busca crear conciencia sobre el autismo a través de un cuento.",250000,Mi Hermano Luca (cortometraje acerca del autismo),Exitoso,Baja California,369518,Catalina Serna,Cine y video
20,301,"Yuri on Ice!! Fanbook, 100% latino y en español, con más de 50 participantes.",43000,Gold Medal - Yuri on Ice!! fanbook,Exitoso,Chihuahua,116835,Studio XIII,Cómic
21,286,"A festival with a new proposal for the music scene in Mexico, for an audience that doesn't complicate itself with labels.",250000,DIVERSA FESTIVAL Música+Inclusión+Unión,Exitoso,Distrito Federal,261485,Claudio Castellanos,Música
22,285,"Serie animada de cuentos indígenas narrados en su lengua originaria creados bajo la premisa ""Nadie puede amar lo que no conoce""",400000,68 Voces-68 Corazones / 68 Voices-68 Hearts,Exitoso,Distrito Federal,451511,68 Voces,Cine y video
23,250,Descubre en este libro quiénes son algunos de los artistas urbanos más talentosos de México / Discover this street art book from Mexico,260000,Muros somos - el libro sobre artistas urbanos de México,Exitoso,Distrito Federal,277080,Cynthia Arvide,Editorial
24,245,Un Cortometraje dirigido por /a short film by: Jennifer Skarbnik López,490000,“HASTA PRONTO / SEE YOU SOON / DO ZOBACZENIA WKRÓTCE”,Exitoso,Baja California,496563,Jennifer Skarbnik López,Cine y video
25,241,"Celebramos nuestro décimo aniversario con un arte-objeto mapeando el diseño, moda, arquitectura y gastronomía en México.",450000,Coolhuntermx | Primer impreso,Exitoso,Baja California,485333,Coolhuntermx,Editorial
26,238,"Cubrebocas reutilizables para protegerse contra el COVID 19.  Hechos en telar de cintura, apoyamos a las mujeres de nuestra comunidad.",100000,"""CON MAKA MÉXICO NOS CUIDAMOS TODOS""",Exitoso,Mexico,225642,Daniela Ustaran,Artesanía
27,234,"A new concept, a new deck. 45s Playing Cards.\r
Hold it, you might like it.",300000,45s Playing Cards by ManoSanta,Exitoso,Baja California,321268,Cesar Mosqueda,Juegos
28,230,El lugar del mítico monstruo de agua mexicano / The place of the mythical mexican water monster,190000,AXOLOTITLÁN Museo del Ajolote / Mexico Creates,Exitoso,Distrito Federal,202030,AXOLOTITLÁN,Arte
29,222,Tikea is a book by Dr Alderete that brings together in its pages the mystery of one of the most wonderful cultures of the South Pacific,250000,Tike'a // A Book by Dr. Alderete,Exitoso,Distrito Federal,316970,Dr. Alderete,Editorial
30,217,"2a temporada de la serie web LGBT, que muestra las aventuras amoroso-sexuales de Aarón en la Ciudad de México.",300000,"CON LUGAR, TEMPORADA 2",Exitoso,Baja California,312472,Omar Flores Sarabia,Cine y video
31,217,Be part of the new Sotomayor's record and its release in vinyl,160000,Nuevo disco de Sotomayor,Exitoso,Distrito Federal,168050,Sotomayor,Música
32,216,"Acompáñame a darle vida a mi primer EP, mezclando tintes de Folk, con notas de Blues, feeling de Soul y punch del Pop.",80000,Ingrid Löw: Moonlight EP,Exitoso,Distrito Federal,193500,Ingrid Löw,Música
33,214,Un libro de Mónica Mayer // A book by Mónica Mayer,265000,"Intimidades... o no. Arte, vida y feminismo.",Exitoso,Mexico,360895,Mónica Mayer,Editorial
34,214,Not all of us see life in the same color. A story that encourages us to break limits and view things from a different perspective.,200000,La Laguna Rosa,Exitoso,Yucatan,216120,Gitana Films,Cine y video
35,212,We give Mexican artisan women an opportunity to preserve their traditions as we take their work to new frontiers.,150000,MAKA MÉXICO // WITH ARTISAN SOUL,Exitoso,Distrito Federal,321020,Daniela Ustaran,Artesanía
36,202,Radio Nopal es una estación de radio colectiva por internet localizada en la Ciudad de México.,120000,Radio Nopal,Exitoso,Distrito Federal,126888,Radio Nopal,Editorial
37,196,Rise & Shine with Sunrise Cards,100000,Sunrise Playing Cards,Exitoso,Distrito Federal,204173,Fran CG,Juegos
38,195,Design and pitch your way to be a creative legend in this graphic design/advertising visual novel.,95000,Design Hero,Exitoso,Nuevo Leon,121255,Akinaba,Juegos
39,190,""" Atrapado en una pesadilla "" //
""despite having nothing in common, the guy will have to discover how to get robot help """,200000,DROPLENS Animated Shortfilm,Exitoso,Distrito Federal,234001,Ro Bot,Cine y video
40,187,Ayuda a GAMA Crea y a sus colaboradores a seguir gestionando proyectos artísticos en la Ciudad de México.,220000,"Hazlo Real, un proyecto de GAMA Crea.",En curso,Distrito Federal,149936,Gama Crea,Arte
41,187,"A sci-fi drama about Erik, a man who, devastated by the loss of his wife, tries to bring her back to life.",120000,WAKE UP,Exitoso,Distrito Federal,132200,Tefa Garmendia,Cine y video
42,181,¡Hemos grabado el nuevo disco y necesitamos de su apoyo para sacarlo a la luz! >> We recorded new music & need your help to release it!,160000,"“Imperfecto"" de Troker (NEW ALBUM RELEASE)",Exitoso,Baja California,170392,Troker,Música
43,176,Primer misterio del cómic mexicano que sigue las aventuras del detective Carlos Camarón.,75000,Carlos Camarón en los Aullidos del Horror,Exitoso,Baja California,84406,Mako Animation Studio,Cómic
44,173,"Película independiente sobre, familia, deseo y nostalgia. // \r
\r
Independent Feature Film about family, desire and nostalgia.",300000,El Deseo de Ana // Ana's Desire Film,Exitoso,Distrito Federal,378600,ANOMIA,Cine y video
45,171,"Hombre Diablo es un libro de arte inspirado en la obra de Devilman de Go Nagai, por fans para fans.",52000,HOMBRE DIABLO: Devilman fanbook,Exitoso,Chihuahua,59908,Studio XIII,Arte
46,168,"Hi! Thank you for checking my project out, it took me almost 8 years to write this story and now, it’s finally here!",82849,This is: The SHIT.,Exitoso,Baja California,87834,Yosam Cardenas,Cómic
47,167,"A dark story of loneliness, abuse, desire, encounter and hope.",375000,DULCE ALARIDO | Cortometraje,Exitoso,Distrito Federal,375600,Juan Carlos Lelo de Larrea,Cine y video
48,165,¡La recopilación definitiva de los mejores (¿o peores?) cartones del webcómic La Tuya en Vinagre!,70000,Lo Regular de lo Mediocre,Exitoso,Yucatan,114176,Sergio Neri,Cómic
49,163,Designing with love in our first kiln / Diseñamos la cerámica que te encanta y con tu apoyo tendremos nuestro propio horno.,99999,Arroz con leche mamá + Ceramics Studio,Exitoso,Queretaro de Arteaga,211136,Lina Fuensanta,Artesanía
50,163,Unleash the power of Asgard in a city full of mechas on this cyberpunk Nordic-oriented jump and shoot videogame.,120000,Tyr: Chains of Valhalla,Exitoso,Nuevo Leon,127150,Ennui Studio,Juegos
51,161,Documental que explora las raíces de la cultura Garífuna a través de la historia de dos jóvenes que viven realidades distintas,180000,"Garífuna - Dos mundos, un mismo latido",Exitoso,Quintana Roo,205408,Carlos Chablé,Cine y video
52,161,La Ópera Prima de nuestra compañía: Una comedia con actores/músicos en vivo basada en el mito de Orfeo y Eurídice.,110000,Falso Mutis: nuestra Ópera Prima,Exitoso,Distrito Federal,114380,Falso Mutis,Teatro
