,Nombre del proyecto,Creador(a),Estatus,Ubicación (por estado),Descripción,Descripción (limpia),Palabras clave,Recaudado,Objetivo,Conteo de patrocinadores,Categoría
0,9 Years of Shadows,HALBERD STUDIOS,Exitoso,Jalisco,A Heartfelt Metroidvania Experience,heartfelt metroidvania experience,['experience'],1988905,380000,2919,Juegos
1,SANDSARA,Ed Cano,Exitoso,Nuevo Leon,The Kinetic Sculpture That Draws Infinite Patterns On Sand.,kinetic sculpture draws infinite patterns sand,"['patterns', 'sculpture draws']",18574946,100000,1990,Diseño
2,El Reino de Los Muertos - Expert Edition / Mexico Creates,Sextante studio,Exitoso,Distrito Federal,A limited edition deck of playing cards that celebrates life and death in the Mexican culture,limited edition deck playing cards celebrates life death mexican culture,"['edition', 'death mexican']",1322488,280000,1806,Juegos
3,"Hang and Roll ""Organize your backpack like never before""",Hang & Roll,Exitoso,Baja California,"Come and check out our innovative, simple and practical luggage organizer. Hasta la vista, messy clothes!",come check innovative simple practical luggage organizer vista messy clothes,"['check', 'vista messy']",1039589,150000,1339,Artesanía
4,The Warning - New Album and 23 date NorthAmerican Tour,The Warning,Exitoso,Nuevo Leon,"2020 not only takes us back into the studio for production of our 3rd album, but we embark on our first North American Tour March/April",takes us back studio production 3rd album embark first north american tour marchapril,"['american tour', 'studio']",3337199,570000,1132,Música
5,RPG Sounds,Cast n Play,Exitoso,Baja California,Bring your Tabletop sessions to life. Immersive auditive experiences for Dungeon Masters and Players at your fingertips.,bring tabletop sessions life immersive auditive experiences dungeon masters players fingertips,"['players', 'tabletop sessions']",1338164,369000,1075,Juegos
6,Bestiary Vol #2 - 3D Printable Models,Brayan Nafarrate,Exitoso,Coahuila de Zaragoza,3D Printable Models / RPG / Wargaming / Collectibles,3d printable models rpg wargaming collectibles,['models rpg wargaming'],1176954,2000,974,Juegos
7,The mountain with teeth: Historias de piedra,Alejandra Elena Gámez,Exitoso,Distrito Federal,"Colección más reciente de los cómics hechos por Alejandra Gámez para ""The mountain with teeth"".\r
Comics strips and little weird stories",colección reciente cómics hechos alejandra gámez mountain teethr comics strips little weird stories,"['comics', 'little weird']",474570,100000,893,Cómic
8,La búsqueda del legendario tomo 5 - comic by Jours de Papier,Jours de Papier,Exitoso,Distrito Federal,Se necesitan aventureros valientes para encontrar el Mítico 5to tomo de Jours de Papier. We need brave warriors to find JDP's 5th book.,necesitan aventureros valientes encontrar mítico 5to tomo jours papier need brave warriors find jdps 5th book,"['aventureros', 'encontrar', 'brave']",548622,145000,736,Cómic
9,The Warning's 2nd Studio Album,The Warning,Exitoso,Baja California,"Dany, Pau and Ale are ready to go to the studio and record The Warning's brand new album",dany pau ale ready go studio record warnings brand new album,"['pau ale', 'new']",1768119,400000,733,Música
10,Axolotl Playing Cards,Sextante studio,Exitoso,Distrito Federal,Playing Cards created to help support the axolotl conservation efforts in México by spreading knowledge about this amazing creature.,playing cards created help support axolotl conservation efforts méxico spreading knowledge amazing creature,"['cards', 'knowledge amazing']",387549,300000,677,Juegos
11,Cthulhu: Lovecraftian Bestiary - 3D Printable Models,Brayan Nafarrate,Exitoso,Coahuila de Zaragoza,3D Printable Files / RPG / Wargaming / Collectibles,3d printable files rpg wargaming collectibles,['files rpg wargaming'],731324,10000,607,Juegos
12,Éxodo: Documental de la caravana migrante centroaméricana,Cabal Films & Chicken Bus,Exitoso,Distrito Federal,"We accompanied an 8 months pregnant Yuri, who migrates with her partner Mike and her son Santi with one objective, to give birth in EUA",accompanied months pregnant yuri migrates partner mike santi one objective give birth eua,"['mike', 'months pregnant']",671184,665000,461,Cine y video
13,Card Game: The Card Game. A game about cards!,Gnomosapiens,Exitoso,Yucatan,What would happen if the most iconic effects and mechanics were merged in a single game?,would happen iconic effects mechanics merged single game,"['single', 'iconic effects']",172963,75000,409,Juegos
14,Survive a Nightmare,Damian Jimenez,Exitoso,Aguascalientes,"A competitive game, with action points, combat, search, strategy and some luck, can you perform the final conjuring?",competitive game action points combat search strategy luck perform final conjuring,"['final', 'game action']",22739,2000,374,Juegos
15,Neon City Riders: A Cyberpunk Turf Wars Action Adventure,Mecha Studios,Exitoso,Veracruz-Llave,"Explore a decaying futuristic city in search of items, superpowers and companions to free all the turfs and unite their people again!.",explore decaying futuristic city search items superpowers companions free turfs unite people,"['decaying', 'turfs unite']",225740,150000,369,Juegos
16,Pato Box - A full action duck fighting experience,Bromio,Exitoso,Puebla,"Adventure/fighting game inspired by the ""punch-out"" series, taking place in the building of a corrupt corporation.",adventurefighting game inspired punchout series taking place building corrupt corporation,"['game', 'building corrupt']",210700,200000,369,Juegos
17,VS. REYRING (lucha libre gay comic/bara/yaoi /furry ),Dai Leon,Exitoso,Distrito Federal,"VS Reyring Comic Lucha libre, comedia, golpes y mucha calentura!\r
VS.Reyring is a wrestling comic full of action and sensuality",vs reyring comic lucha libre comedia golpes mucha calenturar vsreyring wrestling comic full action sensuality,"['comic', 'sensuality']",278802,60000,320,Cómic
18,"Terremoto, a unique Pan-American art magazine","Dorothée, Antonella, Diego and Ana",Exitoso,Distrito Federal,"Operating from Mexico City, we are a free, bilingual, quarterly digital & print publication about contemporary art in the Americas.",operating mexico city free bilingual quarterly digital print publication contemporary art americas,"['mexico', 'contemporary art']",441683,400000,313,Editorial
19,Mi Hermano Luca (cortometraje acerca del autismo),Catalina Serna,Exitoso,Baja California,"Cortometraje animado basado en el libro infantil ""Mi Hermano Luca"". Busca crear conciencia sobre el autismo a través de un cuento.",cortometraje animado basado libro infantil hermano luca busca crear conciencia autismo través cuento,"['traves', 'animado', 'autismo']",369518,250000,304,Cine y video
20,Gold Medal - Yuri on Ice!! fanbook,Studio XIII,Exitoso,Chihuahua,"Yuri on Ice!! Fanbook, 100% latino y en español, con más de 50 participantes.",yuri ice fanbook latino español participantes,"['espanol', 'ice fanbook']",116835,43000,301,Cómic
21,DIVERSA FESTIVAL Música+Inclusión+Unión,Claudio Castellanos,Exitoso,Distrito Federal,"A festival with a new proposal for the music scene in Mexico, for an audience that doesn't complicate itself with labels.",festival new proposal music scene mexico audience doesnt complicate labels,"['complicate', 'new proposal']",261485,250000,286,Música
22,68 Voces-68 Corazones / 68 Voices-68 Hearts,68 Voces,Exitoso,Distrito Federal,"Serie animada de cuentos indígenas narrados en su lengua originaria creados bajo la premisa ""Nadie puede amar lo que no conoce""",serie animada cuentos indígenas narrados lengua originaria creados bajo premisa nadie puede amar conoce,"['animada', 'puede amar']",451511,400000,285,Cine y video
23,Muros somos - el libro sobre artistas urbanos de México,Cynthia Arvide,Exitoso,Distrito Federal,Descubre en este libro quiénes son algunos de los artistas urbanos más talentosos de México / Discover this street art book from Mexico,descubre libro quiénes artistas urbanos talentosos méxico discover street art book mexico,"['mexico', 'libro', 'quienes']",277080,260000,250,Editorial
24,“HASTA PRONTO / SEE YOU SOON / DO ZOBACZENIA WKRÓTCE”,Jennifer Skarbnik López,Exitoso,Baja California,Un Cortometraje dirigido por /a short film by: Jennifer Skarbnik López,cortometraje dirigido short film jennifer skarbnik lópez,"['skarbnik', 'dirigido short']",496563,490000,245,Cine y video
25,Coolhuntermx | Primer impreso,Coolhuntermx,Exitoso,Baja California,"Celebramos nuestro décimo aniversario con un arte-objeto mapeando el diseño, moda, arquitectura y gastronomía en México.",celebramos décimo aniversario arteobjeto mapeando diseño moda arquitectura gastronomía méxico,"['gastronomia', 'decimo', 'arquitectura']",485333,450000,241,Editorial
26,"""CON MAKA MÉXICO NOS CUIDAMOS TODOS""",Daniela Ustaran,Exitoso,Mexico,"Cubrebocas reutilizables para protegerse contra el COVID 19.  Hechos en telar de cintura, apoyamos a las mujeres de nuestra comunidad.",cubrebocas reutilizables protegerse covid hechos telar cintura apoyamos mujeres comunidad,"['mujeres', 'reutilizables protegerse']",225642,100000,238,Artesanía
27,45s Playing Cards by ManoSanta,Cesar Mosqueda,Exitoso,Baja California,"A new concept, a new deck. 45s Playing Cards.\r
Hold it, you might like it.",new concept new deck 45s playing cardsr hold might like,"['new', 'cardsr', 'deck']",321268,300000,234,Juegos
28,AXOLOTITLÁN Museo del Ajolote / Mexico Creates,AXOLOTITLÁN,Exitoso,Distrito Federal,El lugar del mítico monstruo de agua mexicano / The place of the mythical mexican water monster,lugar mítico monstruo agua mexicano place mythical mexican water monster,"['mitico', 'mexican water']",202030,190000,230,Arte
